,shop_comment
40,"痘痘肌肤的第一选择就是薰衣草花水了，敷着为一个安心吧。其实什么祛痘祛痘印的效果都没太看出来。味道不是很好闻，但是能接受。还在继续寻找其他适合湿敷的花水品牌。...,舒缓镇定又补水。。还这么便宜。。泡纸膜神马的 真是一点也不心疼。用了一瓶以后皮肤白了些 味道不太好闻 但我可以接受。有JMS说含乙醛 心里有点担心 但我还是又入了一瓶 = = 在找到更好的之前 先用着吧。。。...,这个水是在我被太阳灼伤的时候买的，晚上用上之后肌肤火塘的程度顿时减轻不少，第二天早上起来也没有那么痛了，感觉镇静肌肤的效果还是可以的...,薰衣草纯露含有的薰衣草成分很多。而且我感觉舒缓消炎的效果超级好。非常适合油皮用来控油和去痘痘。效果超好哦。大瓶的。性价比很高。便宜的很。非常推荐大家购买的一款。我是在小美购买的哦。...,林清轩的产品也是第一次接触，这款芦荟原液是从专柜买的，当时觉得挺贵的，不过用下来觉得还是不错的，感觉挺好用的，非常喜欢这款芦荟原液...,一个很大的分量，价格不贵，薰衣草的成分是很有作用的，比较温和，对于肌肤毛孔的改善是特别明显的，不刺激肌肤，使用的感觉是特别出色的哦，毛孔使用之后本身的小痘痘都可以很好的去除了，改善的比较明显，价格说来...,小蛮推荐的是橙花水，有提亮作用，但不适合痘肌（会激发痘痘），薰衣草能镇定皮肤适合痘脸。bf的薰衣草花水盖子塑封，并没有其他包装了，国内有代理，所以BF是有中国官网的，现在tb上大多数卖家，都进的是有中文防伪...,觉得不错啊，我就喜欢这怪怪的味道，而且薰衣草有镇静肌肤的作用，，脸特别容易过敏，所以买来试试，我觉得还不错，补水挺好...,臭得有点过分，第一次用时接受不了，后来就和橙花兑在一起用，味道还能接受一些...,很喜欢的花水，便宜，怎么用都不会心疼，夏天必备款，控油效果非常好，味道也很正..."
41,"挺好的...,有好感，会再买来用哦！...,没啥作用...,很容易洗干净头发，不像某些洗了很久都觉得还有泡泡；确实有起到保持弹性和修复的作用；个人推荐配套那个小支粉色的修复产品，类似弹力素一样的，直接用的，用完之后不会黏糊，非常有弹性和柔顺。...,每次在使用这款的时候都能够感觉到头发特别柔顺，而且香味特别好闻...,能修护受损的发质，很适合染发人群使用！...,一般般吧...,不会买了，很一般...,再也不用了...,发水头发变得很顺滑，一点都不猫燥，有很水润的质感，连让我万分苦恼的打结问题都完美的解决了，真的是超级喜欢这款产品呀，会一直买来用的！...强力推荐哦..."
42,"我很喜欢...,很容易洗干净头发，不像某些洗了很久都觉得还有泡泡；确实有起到保持弹性和修复的作用；个人推荐配套那个小支粉色的修复产品，类似弹力素一样的，直接用的，用完之后不会黏糊，非常有弹性和柔顺。...,有好感，会再买来用哦！...,3天没有洗头发，本来以为要用一大滩才能出泡沫，没想到只用了顶多一元钱硬币大小，泡沫就很丰富，而且洗的特别干净。...,挺好的...,还可以的...,用了一段时间，本来我的发不是很好，但是令干涩、毛躁的发丝也持久保持滋润柔顺易梳理真的有这种效果，现在我的头发好了很多，可以去试下哦...,修复滋润效果很强大，隔一天用一次，头发变得顺滑不干燥，之前烫发厉害...,成分比较多，但是用完头发的顺滑度不佳啊。用了像没用一样，不是特别滋润，味道倒还行...,适合发质偏干的妹纸。我用了之后头发一天就有油的感觉，觉得太滋润了，但是我朋友用了之后就说很好，觉得头发顺滑十分滋润。..."
43,"爱这款...,这款口碑不错的...,效果不错，用完不黏腻，感觉还是比较不错的。...,用了那么多年，真心的觉得很好，头发也改善了不少。...,跟风失败...,15、好用，推荐！...,气味需要一定时间适应，用了两个月，入夏了，就一般了，油的比较快，第三天会出头皮使用下来，最大的感受就是不毛躁。头发柔柔顺顺，味道也很不错。...,坚持用也没效果...,真好，不错...,凑合用着..."
44,"无功无过。。...,好闻，美白没感觉...,       因为一直以来用的是薰衣草纯露，所以当第一次用到bf家的橙花纯露时，着实被她的气味迷住了，他的颜色是淡黄色的，味道清香，而且持久，当时前男友还总是问我“用什么、这么想呢...,对我来说有点香气太浓，而且有些刺激。。。是太缺水所以疼么。。。...,夏天使用这么一款清爽的纯露很舒服，味道比薰衣草及玫瑰纯露清爽多了，用来敷纸膜补水非常好...,用完整整一瓶200ml的，我想我可以有发言权了。首先长草于小蛮的博客，三明治面膜。其次到手后，铝瓶的包装和简洁优雅的英文字，真的超级漂亮，很独特的材质，独特的造型。再其次，香味真的是天然纯正又好闻，！像夏天...,很喜欢这个味道！！美白一般般...,夏天用这款纯露感觉很好呢，我是个混合性皮肤，夏天洗完澡了，用这款纯露很滋润哦，涂抹在皮肤上，很容易就吸收了，一点都不会觉得油腻，还有淡淡的香味。...,橙花的花水还是最爱这款，尤其是做面膜很好用，超级大瓶不会用浪费，很适合夏天镇静，增加皮肤弹性，改善肤色不均。减少油脂，油皮用了调节水油平衡就好了...,这个牌子刚出来的时候就开始用了!真的很喜欢!当化妆水用,很滋润,我的皮肤属于很敏感的,这款太适合我了!我的有些朋友嫌味道难闻,我觉得还好啊..."
45,"支持这个品牌...,到目前为止已经用过两次了，效果居然特别明显呢，头发也有光泽了而且顺顺的，好开心呢...,这个清洁能力很不错，味道也很好闻，而且很持久的~配合同款的润发乳来用，分叉会明显的减少...增加头发的光泽和丰盈度。可用于治疗头皮屑或预防头屑的...,用完没多久，就感觉油腻腻的~不喜欢...,用完顺滑。油头不会油的太快但是又能感觉有滋润到头发...,可能是我烫染后头发太糟了吧，觉得洗发水太干了，这个护发素还行。...,就喜欢这个...,9、比较好涂抹...,这瓶洗发用后发色会变亮，也不知是什么原理。反正洗完感觉是很好的，有光泽，颜色会明显了，比较清爽的。不过还是不够润，可再用发膜。...,有好感，会再买来用哦！..."
46,"特别喜欢这个...,很有针对性的产品，值得推荐。...,非常好...,以前用过此品牌相关护发产品，保湿修复能力超强。...,效果很滋润，而且大大瓶的，很好用，而且好有淡淡的香味，不错不错嘛~...,洗后头发如丝顺滑。本人一直是这个牌子的粉丝。也很喜欢用这个牌子。身边的家人朋友都一直在用这个牌子的洗发水护发素。...,朋友香港带回来的，刚开始还不知道怎么样，用了一段时间后，能彻底清洁头发，使头发恢复光鲜色泽、柔软亮丽。也能防止头皮屑。真的是不错...,保持头发健康亮泽顺爽醒神，让发质不再干枯，有光泽，一段时间用来来，感觉发质有些弹性了！所以还不一直用下去的。...,很高兴很开心，收到后马上使用，很快见效果，头发有光泽，也很柔顺，值得买来用，也值得推荐其他人买来用...,用着可以，我的头发发质很好就是找不到怎么好的洗发护发的产品，用着还可以但不能说是最好，朋友有的话介绍给我，这款还可以，用着效果都还行。..."
47,"跟风买的...,还行吧...,灰常好...,还行，就那样...,很喜欢那种味道很清晰，效果也很好的。洗完就是柔柔的，感觉超棒。。...是正品！我和妈咪一直用这款护发素，真是大爱，实惠，最主要是效果比其他牌子要好很多！...,以前用过此品牌相关护发产品，保湿修复能力超强。...,使用效果是还是不错的,用完以后整个发梢都是滑溜溜的.但是它的味道有些人觉得不好闻,我个人是觉得可以接受...,味道很喜欢，剪了短发，睡醒发尾会毛糙，但是只要用来这个润发乳在发尾，第二天头发明显柔顺很多，又不会很油腻，比较推荐...,我头发比较干，很毛躁，这个用完之后头发非常顺、滑、垂、软，用过的护发产品中感觉最好最适合我的...,用完没多久，就感觉油腻腻的~不喜欢..."
48,"虽然价格很亲民，但是实在是要说这不是什么好产品，开始觉得口碑好才买的，结果发现洗发水用了不但不生发，还掉发更严重了，用了头发好干涩啊，简直跟用肥皂洗头发一样，我一家人都不愿意用它了，那些用完说好的，你...,感觉味道很好闻，泡沫很细腻，使用后味道持久。也算是比较高端的产品了吧。以前用宝洁家的比较多，现在开始换换。老用一种也不好哦。希望能让我的头发和头皮变得健康起来...,為敏感头皮带来舒缓及净化作用，巩固头皮的天然保护层，令头皮回复健康舒适，后来买回来用下，真的有这样的效果哦，以后我会多多支持这个牌子...,我头发比较干，很毛躁，这个用完之后头发非常顺、滑、垂、软，用过的护发产品中感觉最好最适合我的...,灰常好...,我都是每次洗头时用一遍，不用护发素，不做其他发膜之类的护理，想看看到底有没有效果的。首先，不刺激，很柔和。不像一般的强效洗发水（比如说强效去油强效祛邪）那样泡沫丰富去污力强，但是很多MM不知道，这种洗发...,没水之密语的好用。价格很便宜。不适合油性头发用...不过里面含有天然的去屑剂，有效对付头屑的形成，强效而无副作用，用后要使用护发素才能染头发顺滑...,一般，还行...,就那样吧，一般...,我的头发块到腰了，但没有分岔，发尾也不枯，这款产品应该还是起了很大作用的..."
49,"挺好的...,顶这款...,好...,能修护受损的发质，很适合染发人群使用！...,以前用过此品牌相关护发产品，保湿修复能力超强。...,很有针对性的产品，值得推荐。...,用了几次，毛躁稍微好了一点了，不过也不是那么惊艳，洗后头发是顺滑了许多...,这绝对是我用过的效果最明显的洗护产品，没用过这个系列的发膜，但是洗发护发都使用过，我曾经迷恋烫发染发，而且头发长过腰际，发梢受损严重，说像枯草一点不为过，本人那个时期的头发绝对是衡量洗发水好坏的试金石...,，用了之后头发滑滑的，很欢喜 可以和护发素参合在一起使用，超级喜欢，无限回购！...,洗完的时候头发湿湿的挺柔顺，不过头发干了就一般。不过睡完觉后头发很帖服，修复是有点效果的..."
50,"脸上的斑虽然不好去，但也不能放任不理，不然会更多的，我深有体会，不过现在我脸的斑点淡化掉了，这多亏了闺蜜推荐的一款祛斑霜——俏颜黛，现在脸上白净，而且没出现反弹的情况，百度俏颜黛官网可以买到。...,我生了宝宝之后长了好多妊娠斑，后来用闺蜜推荐的俏颜黛祛斑霜，才去掉了脸上的斑点，现在脸上很白净，而且没有反弹。...,平时尽量不要熬夜，防晒，配合雪菲祛斑内调为主，祛斑很彻底...,　　可以多喝水，多吃点水果和蔬菜，使用专门的去班产品，菲泊丝丽就很不错的，我脸上的斑就去掉了...,20多岁一直用的产品，连续密集的使用一年，对色斑确实有效。但停下来就又恢复原样。30岁之后色斑不是重点，抗皱成主打，精华不能混用，所以停掉了...,ba一次性配了两只精华其中这只和另外那个红瓶子抗老那只，不知道为什用力然并卵，不会回购，...,用过两瓶还是三瓶 不确定有没有变白 但是肤色有均匀点点吧 应该不会继续回购 资生堂美白精华稍微好用点...,起初很惊艳，好像脸变得透亮白皙，因为我是搭配面膜用的，后来停用面膜立马就效果逊色了，后来我意识到应该是面膜的作用，不好也不坏。...,夏天每晚使用，没有顺风黑了皮肤~赞一个吧...,bu?cuo..."
51,"#蜜月榜Vol.2#Fancl胶原蛋白饮料
功能：专利三肽胶原蛋白，分子极小，极易被吸收，提升肌肤弹性。
成分：三肽胶原蛋白（2600mg）、维他命c、苹果多酚、维他命e、辅酵素Q10、透明质酸。
?
这款胶原蛋白口服液大S在美容...,#蜜月榜Vol.2#+FANCL芳珂果味饮料(含胶原蛋白)

过了25岁皮肤很容易看起来疲惫，所以我会补充一些保健品。FANCL芳珂果味饮料可以放包里，跟零食一样，口感不错，还是水果味的
~很好喝又方便携带。时时刻刻可以为肌肤...,#蜜月榜Vol.2#+FANCL芳珂果味饮料(含胶原蛋白)




过了25岁皮肤很容易看起来疲惫，所以我会补充一些保健品。FANCL芳珂果味饮料可以放包里，跟零食一样，口感不错，还是水果味的
~很好喝又方便携带。时时刻刻可以为肌...,#蜜月榜Vol.2#+FANCL芳珂果味饮料(含胶原蛋白)




过了25岁皮肤很容易看起来疲惫，所以我会补充一些保健品。FANCL芳珂果味饮料可以放包里，跟零食一样，口感不错，还是水果味的
~很好喝又方便携带。时时刻刻可以为肌...,             过了25岁皮肤很容易看起来疲惫，所以我会补充一些保健品。FANCL芳珂果味饮料可以放包里，跟零食一样，口感不错，还是水果味的    ~很好喝又方便携带。时时刻刻可以为肌肤补水~完全不用担心长胖~零脂肪，...,#蜜月榜Vol.2#+很想试试看这个果味饮料，补充胶原蛋白，保持肌肤年轻状态。...,喝了三个月胶原蛋白，和美白饮料一起配合在一起喝的，感觉那段时间皮肤好像确实很不错哎。...,个人觉得还是有用的，吃了后皮肤光滑细腻，状态非常好，就是贵呀，每次都是等哈搞活动的时候买...,每次出国都很想买一拉杆箱的 今年刚刚换成袋装的 等吃一段时间对比一下袋装浓缩的和瓶装的效果...,看一星评论看地我胸痛。。。喝了几盒没什么效果，当饭后饮料了。..."
52,"五星好评...,我们回家了没有...,我们回家了没有...,我们回家了没有...,我们回家了没有...,强烈推荐！不油腻，很容易就乳化了，价格也适中！...,效果特别好，性价比很高...,非常非常好用。...,好用，敏感肌肤OK，还能去脂肪粒...,还行，非常温和，也干净。不过，我混合性肌肤还是喜欢植村秀卸妆油，对鼻头毛孔来说要更抑制黑头一些。..."
53,"专柜购入。质地比较稀，成膜慢，泛白，上脸感觉是哑光雾状的那种，一直是粉状一样浮在脸上，后续如果上妆有点不贴妆，不太好用。不会再回购。...,孕期使用的防晒，涂在脸上滑滑的，一瓶能用很久，防晒效果还不错，直接用洗面乳就能洗掉。...,...,专柜买的应该是新版，图片不一样。目前为止最喜欢的防晒，属于涂改液式的，很清爽，不粘腻，有点像安耐晒，还是纯物理防晒，不泛白，还是很惊喜的，物理防晒竟能做到这么清爽。因为纯物理防晒，所以很适合敏感肌。...,物理防晒中算轻薄的，泛白明显，卸除也麻烦，保质期还短...,我买的是白色包装的，防晒隔离指数30，本人是外油内干皮肤，又是红血丝敏感肌，用了一点都不油，质地薄也很容易涂匀，敏感混油肌也没出现闷痘和过敏现象。挺喜欢的！...,用的时间好长，很温和...,伤心~~~蓝瓶换了包装以后，里面的内容感觉也换了，原来的蓝瓶已经用了3瓶了，超级好用，我是混油的皮肤，蓝瓶的防晒霜不油也不干，还有增白效果，光涂这个就达到素颜提亮肤色的效果，特别的好，现在的白瓶变得有些干...,涂抹在肌肤上后会留下白色痕迹，极其不易清洗，必须用卸妆产品卸除。..., 中性皮肤，正常肤色。   这东西有种很难形容的怪味，像硬塑料被加热后的味道，所以根本不是什么""无添加""。上脸后泛油光，搓泥。刚涂上是那种紫外线灯的颜色，几小时后是无血色的惨白。可能是保湿乳液被搓掉了不少，..."
54,"这款香水属于淡香水系列，香水瓶的设计采用了如跑车般的顺畅线条，瓶身前面很特别印有象征法拉利精神的图腾标志，黑色的玻璃瓶身很漂亮精致。香水味是淡淡的，前调包括佛手柑，小豆蔻，中调为肉豆蔻，雪松，天竺葵，...,买给老公的，他一直很喜欢这款，但是不舍得买，花了500多买个最大的送他，他开心的不得了，嘻嘻！现在闻到这个味道就会想到他的笑脸。...,男人的香水一定要淡，要是一个男人香喷喷的不要吓死人啊！香味就是要有点干净的味道，很适合上班用。...,第一次买了一个30ml的，很喜欢有种海洋＋甜味的感受，不单单是男性的香水，觉得女性也可以使用的，百搭款。...,留香很持久，早上使用的到了晚上也还有后调淡淡的余味，很多人让我描述香味，真的很难，词穷的只能说挺好闻的。...,老公很喜欢法拉利这个车队，纪念日想给他买小礼物，奈何车膜太贵，本来想买标志性的红色，想想一直买红色也没什么新意，就看中拉这款。...,运动的时候会随着体温的升高慢慢散开，虽然被基友说有点娘，但是我自己很喜欢，爷们也不能太糙的过日子。...,一直想买一款男性的香水，怎么也选不来，一次去看跑圈在精品店看到的，原来这牌子还真有香水，就买来试试，还不错。...,每次打球都用这个，可以很快的掩盖汗味，香味也比较中性，很受身边女性们的好评。...,每次用女友都很喜欢，说有海洋的感觉，哈哈～男人就是这样简单，只要自己的女人喜欢就很开心，听说她还推荐给小姐妹了。..."
55,"留香持久，味道很率性，我很喜欢！。。。。。。。。。。。。。。。。。。...,灰色和红色的包装让我很喜欢，瓶子控完全控制不住的收入囊中！。。。。。。。。。...,神秘而又狂野的混合感，感觉年轻的不得了啊！激情四射的~。。。。。。。。。...,同样是从别人身上闻到的，在店里好玩买了一瓶，价格很实惠，相对与某些贵的要死的大牌绝对有性价比！...,包装很大气，送朋友也很拿得出手，香味也是女性们都喜欢的，所以买了一瓶给爸爸一瓶给老公。...,一开始赠送的小样让我喜欢了这款男香，随后自己又买了个，很好很喜欢，前几天还想买个送男人呢！...,买来送人的，在专柜试闻的时候觉得味道很帅，对这个味道大有好感，而且我觉得不仅仅适合男生，其实对于不太喜欢过甜味道的女生也很合适，自己也好想买一瓶了。...,陪伴我很多年了，以至于朋友们都知道我喜欢它，所以每年生日总有人赠送。...,这个我并没买过，只是有次在别人的车上闻到了这香，就有了一种莫名的喜欢，接着就对喷的那个人有了一种莫名的好感，元芳你怎么看？方正我就是被他吸引了，我说的是这款香水。...,买来送给男朋友的。个人很喜欢这个味道。很man很优雅的绅士范儿。男友用着显得沉熟稳重，持香时间够久，一天基本没什么问题。..."
